ticker,company_name,industry,market_cap
HWM,Howmet Aerospace Inc.,Aerospace & Defense,38.04B
AME,"AMETEK, Inc.",Specialty Industrial Machinery,38.00B
CTSH,Cognizant Technology Solutions Corp.,Information Technology Services,37.93B
KR,The Kroger Co.,Grocery Stores,37.79B
EXR,Extra Space Storage Inc.,REIT - Industrial,37.50B
YUM,"Yum! Brands, Inc.",Restaurants,37.43B
CNC,Centene Corp.,Healthcare Plans,37.35B
RMD,ResMed Inc.,Medical Instruments & Supplies,36.95B
OTIS,Otis Worldwide Corp.,Specialty Industrial Machinery,36.92B
EFX,Equifax Inc.,Consulting Services,36.70B
PWR,"Quanta Services, Inc.",Engineering & Construction,36.70B
ED,"Consolidated Edison, Inc.",Utilities - Regulated Electric,36.17B
DOW,Dow Inc.,Chemicals,35.54B
VICI,VICI Properties Inc.,REIT - Diversified,35.51B
XEL,Xcel Energy Inc.,Utilities - Regulated Electric,35.49B
IR,Ingersoll Rand Inc.,Specialty Industrial Machinery,35.27B
CBRE,"CBRE Group, Inc.",Real Estate Services,35.10B
GLW,Corning Inc.,Electronic Components,35.02B
GRMN,Garmin Ltd.,Scientific & Technical Instruments,34.70B
HIG,"The Hartford Financial Services Group, Inc.",Insurance - Property & Casualty,34.14B
DD,"DuPont de Nemours, Inc.",Specialty Chemicals,33.31B
AVB,"AvalonBay Communities, Inc.",REIT - Residential,33.05B
IRM,Iron Mountain Inc.,REIT - Specialty,33.00B
NUE,Nucor Corp.,Steel,32.99B
BKR,Baker Hughes Co.,Oil & Gas Equipment & Services,32.77B
EIX,Edison International,Utilities - Regulated Electric,32.62B
DFS,Discover Financial Services,Credit Services,32.61B
HPQ,HP Inc.,Computer Hardware,32.25B
CSGP,"CoStar Group, Inc.",Real Estate Services,32.21B
TRGP,Targa Resources Corp.,Oil & Gas Midstream,31.45B
XYL,Xylem Inc.,Specialty Industrial Machinery,31.41B
MLM,"Martin Marietta Materials, Inc.",Building Materials,30.87B
VMC,Vulcan Materials Co.,Building Materials,30.78B
LYB,LyondellBasell Industries N.V.,Specialty Chemicals,30.43B
MRNA,"Moderna, Inc.",Biotechnology,30.42B
FANG,"Diamondback Energy, Inc.",Oil & Gas Exploration & Production,30.33B
LULU,Lululemon Athletica Inc.,Apparel Retail,30.28B
WEC,"WEC Energy Group, Inc.",Utilities - Regulated Electric,30.13B
EL,The Estée Lauder Companies Inc.,Household & Personal Products,30.12B
WTW,Willis Towers Watson Public Limited Co.,Insurance Brokers,29.68B
MTD,Mettler-Toledo International Inc.,Diagnostics & Research,29.45B
BRO,"Brown & Brown, Inc.",Insurance Brokers,29.45B
ROK,"Rockwell Automation, Inc.",Specialty Industrial Machinery,29.43B
EBAY,eBay Inc.,Internet Retail,29.34B
PPG,"PPG Industries, Inc.",Specialty Chemicals,29.33B
BIIB,Biogen Inc.,Drug Manufacturers - General,29.20B
TSCO,Tractor Supply Co.,Specialty Retail,29.18B
ON,ON Semiconductor Corp.,Semiconductors,28.97B
LVS,Las Vegas Sands Corp.,Resorts & Casinos,28.87B
EQR,Equity Residential,REIT - Residential,28.86B
AWK,"American Water Works Co., Inc.",Utilities - Regulated Water,28.76B
CDW,CDW Corp.,Information Technology Services,28.68B
WAB,Westinghouse Air Brake Technologies Corp.,Railroads,28.62B
ADM,Archer-Daniels-Midland Co.,Farm Products,28.02B
NVR,"NVR, Inc.",Residential Construction,28.01B
CAH,"Cardinal Health, Inc.",Medical Distribution,27.97B
DAL,"Delta Air Lines, Inc.",Airlines,27.76B
GPN,Global Payments Inc.,Specialty Business Services,27.69B
MTB,M&T Bank Corp.,Banks - Regional,27.67B
K,Kellanova,Packaged Foods,27.55B
DXCM,"DexCom, Inc.",Medical Devices,27.47B
FITB,Fifth Third Bancorp,Banks - Regional,27.42B
PHM,"PulteGroup, Inc.",Residential Construction,27.34B
TTWO,"Take-Two Interactive Software, Inc.",Electronic Gaming & Multimedia,27.21B
VLTO,Veralto Corp.,Pollution & Treatment Controls,27.09B
AXON,"Axon Enterprise, Inc.",Aerospace & Defense,27.08B
ANSS,"ANSYS, Inc.",Software - Application,26.94B
VTR,"Ventas, Inc.",REIT - Healthcare Facilities,26.64B
VST,Vistra Corp.,Utilities - Independent Power Producers,26.21B
IFF,International Flavors & Fragrances Inc.,Specialty Chemicals,26.19B
SBAC,SBA Communications Corp.,REIT - Specialty,25.95B
CHD,"Church & Dwight Co., Inc.",Household & Personal Products,25.90B
ETR,Entergy Corp.,Utilities - Regulated Electric,25.88B
DTE,DTE Energy Co.,Utilities - Regulated Electric,25.81B
KEYS,"Keysight Technologies, Inc.",Scientific & Technical Instruments,25.47B
FE,FirstEnergy Corp.,Utilities - Regulated Electric,25.46B
TYL,"Tyler Technologies, Inc.",Software - Application,25.24B
DVN,Devon Energy Corp.,Oil & Gas Exploration & Production,25.18B
FTV,Fortive Corp.,Scientific & Technical Instruments,25.16B
STT,State Street Corp.,Asset Management,24.93B
HAL,Halliburton Co.,Oil & Gas Equipment & Services,24.90B
DOV,Dover Corp.,Specialty Industrial Machinery,24.83B
BR,"Broadridge Financial Solutions, Inc.",Information Technology Services,24.81B
ROL,"Rollins, Inc.",Personal Services,24.51B
STE,STERIS plc,Medical Devices,24.29B
ES,Eversource Energy,Utilities - Regulated Electric,24.18B
SMCI,"Super Micro Computer, Inc.",Computer Hardware,24.08B
RJF,"Raymond James Financial, Inc.",Asset Management,23.86B
PPL,PPL Corp.,Utilities - Regulated Electric,23.66B
NTAP,"NetApp, Inc.",Computer Hardware,23.52B
TROW,"T. Rowe Price Group, Inc.",Asset Management,23.02B
TSN,"Tyson Foods, Inc.",Farm Products,22.68B
AEE,Ameren Corp.,Utilities - Regulated Electric,22.58B
DECK,Deckers Outdoor Corp.,Footwear & Accessories,22.54B
SW,Smurfit Westrock Plc,Packaging & Containers,22.51B
MKC,"McCormick & Co., Inc.",Packaged Foods,22.44B
WRB,W. R. Berkley Corp.,Insurance - Property & Casualty,22.29B
WY,Weyerhaeuser Co.,REIT - Specialty,22.28B
FSLR,"First Solar, Inc.",Solar,22.09B
CBOE,"Cboe Global Markets, Inc.",Financial Data & Stock Exchanges,22.03B
WST,"West Pharmaceutical Services, Inc.",Medical Instruments & Supplies,22.00B
LYV,"Live Nation Entertainment, Inc.",Entertainment,21.94B
INVH,Invitation Homes Inc.,REIT - Residential,21.94B
WDC,Western Digital Corp.,Computer Hardware,21.66B
COO,"The Cooper Companies, Inc.",Medical Instruments & Supplies,21.56B
BF.B,Brown-Forman Corp.,Beverages - Wineries & Distilleries,21.45B
HPE,Hewlett Packard Enterprise Co.,Communication Equipment,21.41B
CINF,Cincinnati Financial Corp.,Insurance - Property & Casualty,21.39B
CPAY,"Corpay, Inc.",Software - Infrastructure,21.33B
STX,Seagate Technology Holdings plc,Computer Hardware,21.33B
ZBH,"Zimmer Biomet Holdings, Inc.",Medical Devices,21.24B
GDDY,GoDaddy Inc.,Software - Infrastructure,21.14B
ATO,Atmos Energy Corp.,Utilities - Regulated Gas,21.02B
ARE,"Alexandria Real Estate Equities, Inc.",REIT - Office,20.87B
CMS,CMS Energy Corp.,Utilities - Regulated Electric,20.67B
CLX,The Clorox Co.,Household & Personal Products,20.63B
LDOS,"Leidos Holdings, Inc.",Information Technology Services,20.62B
